text,category,priority
Оплата отклонена,Оплата,Высокий
Почему мой платеж отменён?,Оплата,Высокий
Не проходит оплата с карты,Оплата,Высокий
Платеж не проходит через интернет,Оплата,Высокий
Оплата не подтверждается,Оплата,Высокий
"Карта валидная, но платеж не проходит",Оплата,Высокий
"Деньги списали, а товар не купился",Оплата,Высокий
Что происходит с оплатой?,Оплата,Высокий
"Я оплатил, но ничего не изменилось",Оплата,Высокий
Ошибка обработки платежа,Оплата,Высокий
Система пишет «невозможно выполнить платеж»,Оплата,Высокий
Платеж не принимается,Оплата,Высокий
Оплата зависла на шаге подтверждения,Оплата,Высокий
Почему не работает оплата?,Оплата,Высокий
Оплата заказа не проходит,Оплата,Высокий
Платеж отклоняется сразу,Оплата,Высокий
Система не даёт оплатить,Оплата,Высокий
Почему нельзя оплатить картой?,Оплата,Высокий
Оплата постоянно сбрасывается,Оплата,Высокий
Платеж завис и не двигается дальше,Оплата,Высокий
"Списали деньги, но заказ пустой",Оплата,Высокий
Где подтверждение оплаты?,Оплата,Высокий
Почему платеж не зачислен?,Оплата,Высокий
Оплата зависла после ввода карты,Оплата,Высокий
Сайт не принимает платеж,Оплата,Высокий
Не получается оплатить заказ картой,Оплата,Высокий
Платеж отменился сам,Оплата,Высокий
"Деньги ушли, а заказ не оформился",Оплата,Высокий
Ошибка транзакции,Оплата,Высокий
Оплата зависла в системе,Оплата,Высокий
Платеж не обрабатывается,Оплата,Высокий
Почему не проходит платеж через карту?,Оплата,Высокий
"Я оплатил, но статус не меняется",Оплата,Высокий
Оплата через сайт не работает,Оплата,Высокий
Платеж отклонён системой безопасности,Оплата,Высокий
Не проходит онлайн-оплата,Оплата,Высокий
Сервис не принимает оплату,Оплата,Высокий
Оплата не проходит уже полчаса,Оплата,Высокий
Почему деньги списались дважды?,Оплата,Высокий
Сайт пишет «платеж не выполнен»,Оплата,Высокий
Оплата зависла после подтверждения,Оплата,Высокий
Не работает кнопка оплаты,Оплата,Высокий
Платеж не отправляется,Оплата,Высокий
Почему не проходит оплата через приложение?,Оплата,Высокий
Система отклоняет мою карту,Оплата,Высокий
"Оплата не проходит, исправьте",Оплата,Высокий
Что за ошибка при оплате?,Оплата,Высокий
Я не могу оплатить заказ,Оплата,Высокий
Почему нельзя провести платеж?,Оплата,Высокий
Оплата зависла,Оплата,Высокий
Платеж не проходит снова,Оплата,Высокий
"Деньги списали, заказ не появился",Оплата,Высокий
Почему платеж отклонён?,Оплата,Высокий
Оплата отменяется,Оплата,Высокий
Платеж не подтверждён,Оплата,Высокий
Ошибка при оплате картой,Оплата,Высокий
Система не принимает оплату,Оплата,Высокий
Не проходит транзакция,Оплата,Высокий
Оплата не работает,Оплата,Высокий
Платеж завис,Оплата,Высокий
Почему не проходит оплата?,Оплата,Высокий
Сервис не принимает карту,Оплата,Высокий
Ошибка платежной системы,Оплата,Высокий
Не могу оплатить покупку,Оплата,Высокий
Платеж не завершён,Оплата,Высокий
Оплата не принимается,Оплата,Высокий
Проблема с оплатой,Оплата,Высокий
Не проходит платеж онлайн,Оплата,Высокий
Оплата отклонена банком,Оплата,Высокий
Платеж не проходит через карту,Оплата,Высокий
Платеж отклоняется системой,Оплата,Высокий
Оплата зависла в обработке,Оплата,Высокий
Не проходит платеж через сайт,Оплата,Высокий
Оплата не завершается,Оплата,Высокий
Платеж не проходит через приложение,Оплата,Высокий
Система отклоняет оплату,Оплата,Высокий
Почему не проходит платеж?,Оплата,Высокий
"Я пытаюсь оплатить, но сервис постоянно выдаёт ошибку",Оплата,Высокий
"Пожалуйста, помогите — не могу завершить оплату заказа",Оплата,Высокий
"Добрый день, система не принимает мою карту при оплате",Оплата,Высокий
"Здравствуйте, деньги списались, но заказ так и не оформился",Оплата,Высокий
У меня проблема: оплата не проходит уже несколько попыток подряд,Оплата,Высокий
"Подскажите, почему платеж отклоняется?",Оплата,Высокий
Я уже пять раз пробовал оплатить и каждый раз ошибка,Оплата,Высокий
"Очень странно, но после оплаты заказ не появился",Оплата,Высокий
"Можно проверить, прошёл ли мой платеж?",Оплата,Высокий
"Я оплатил заказ, но статус всё ещё «ожидает оплату»",Оплата,Высокий
Почему у вас постоянно ломается оплата?,Оплата,Высокий
Это уже раздражает — платежи не работают,Оплата,Высокий
"Снова ошибка оплаты, сколько можно?",Оплата,Высокий
Сайт вообще принимает платежи или нет?,Оплата,Высокий
Почему деньги списали два раза?,Оплата,Высокий
"Вы серьёзно? Деньги сняли, а заказ не оформился",Оплата,Высокий
Что происходит с вашей системой оплаты?,Оплата,Высокий
Я не могу оплатить заказ уже полчаса,Оплата,Высокий
"Пожалуйста, проверьте мой платеж",Оплата,Высокий
"Добрый вечер, оплата не проходит через приложение",Оплата,Высокий
"Здравствуйте, платеж завис после подтверждения",Оплата,Высокий
"Добрый день, подскажите, почему не проходит оплата",Оплата,Высокий
Можно уточнить статус моего платежа?,Оплата,Высокий
"Я оплатил заказ, но подтверждение не пришло",Оплата,Высокий
"Пытаюсь оплатить, но система выдает ошибку",Оплата,Высокий
"Подскажите, как завершить оплату?",Оплата,Высокий
"Не могу оплатить подписку, постоянно ошибка",Оплата,Высокий
Почему сервис отклоняет мою карту?,Оплата,Высокий
"Система пишет «ошибка платежа», что делать?",Оплата,Высокий
Не получается оплатить заказ картой,Оплата,Высокий
"Я оплатил, но заказ не появился",Оплата,Высокий
Почему платеж не зачислен?,Оплата,Высокий
Ошибка при оплате подписки,Оплата,Высокий
Платеж не проходит через сайт,Оплата,Высокий
Оплата зависла после ввода карты,Оплата,Высокий
Почему система не принимает оплату?,Оплата,Высокий
Платеж не подтверждается,Оплата,Высокий
Ошибка обработки транзакции,Оплата,Высокий
"Деньги сняли, но покупка не завершена",Оплата,Высокий
Не могу оплатить товар,Оплата,Высокий
Платеж отклоняется без объяснения,Оплата,Высокий
Оплата заказа не работает,Оплата,Высокий
Платеж не проводится,Оплата,Высокий
Ошибка оплаты заказа,Оплата,Высокий
Не проходит платеж,Оплата,Высокий
Сервис отклоняет оплату,Оплата,Высокий
Оплата не проходит через карту,Оплата,Высокий
Платеж завис в обработке,Оплата,Высокий
Не получается оплатить покупку,Оплата,Высокий
Почему не проходит платеж онлайн?,Оплата,Высокий
Ошибка при оплате заказа,Оплата,Высокий
Оплата не завершена системой,Оплата,Высокий
Не проходит платеж через приложение,Оплата,Высокий
Платеж не фиксируется,Оплата,Высокий
Система отменяет оплату,Оплата,Высокий
Ошибка транзакции при оплате,Оплата,Высокий
Платеж не проходит уже несколько минут,Оплата,Высокий
Оплата зависла на подтверждении,Оплата,Высокий
Сервис не принимает платеж,Оплата,Высокий
Платеж не отображается в заказе,Оплата,Высокий
Оплата не подтверждается системой,Оплата,Высокий
Не проходит онлайн оплата,Оплата,Высокий
Ошибка списания средств,Оплата,Высокий
Платеж отклоняется банком,Оплата,Высокий
Оплата заказа зависла,Оплата,Высокий
Не могу провести платеж,Оплата,Высокий
Платеж отменён автоматически,Оплата,Высокий
Оплата не проходит через сайт,Оплата,Высокий
Ошибка подтверждения оплаты,Оплата,Высокий
Система не обрабатывает платеж,Оплата,Высокий
Оплата заказа не принимается,Оплата,Высокий
Платеж не завершён системой,Оплата,Высокий
Ошибка при оплате покупки,Оплата,Высокий
Не проходит оплата товара,Оплата,Высокий
Платеж не обрабатывается системой,Оплата,Высокий
Оплата не проходит через карту банка,Оплата,Высокий
Платеж не подтверждается кодом,Оплата,Высокий
Ошибка при проведении платежа,Оплата,Высокий
Оплата не фиксируется в системе,Оплата,Высокий
Платеж завис после отправки,Оплата,Высокий
Не проходит платеж по карте,Оплата,Высокий
Оплата заказа отклонена системой,Оплата,Высокий
Где мой заказ?,Доставка,Средний
Когда будет доставка?,Доставка,Средний
Посылка до сих пор не пришла,Доставка,Средний
Почему доставка так долго?,Доставка,Средний
Где сейчас находится мой заказ?,Доставка,Средний
Можно узнать статус доставки?,Доставка,Средний
Заказ задерживается,Доставка,Средний
Почему заказ не доставлен?,Доставка,Средний
Когда курьер привезет заказ?,Доставка,Средний
Доставка опаздывает,Доставка,Средний
Посылка где-то потерялась?,Доставка,Средний
Когда ожидать доставку?,Доставка,Средний
Почему заказ ещё в пути?,Доставка,Средний
Курьер не приехал,Доставка,Средний
Мне не доставили заказ,Доставка,Средний
Почему заказ не пришёл вовремя?,Доставка,Средний
Сколько ещё ждать доставку?,Доставка,Средний
Посылка задерживается,Доставка,Средний
Доставка перенесена без предупреждения,Доставка,Средний
Когда доставят мой заказ?,Доставка,Средний
Курьер не связался со мной,Доставка,Средний
Заказ не пришёл в указанный день,Доставка,Средний
Почему доставка задерживается?,Доставка,Средний
Где курьер с моим заказом?,Доставка,Средний
Когда придёт посылка?,Доставка,Средний
Доставка уже должна была быть,Доставка,Средний
Почему заказ всё ещё не у меня?,Доставка,Средний
Можно проверить доставку?,Доставка,Средний
Где сейчас мой заказ?,Доставка,Средний
Почему доставка опаздывает?,Доставка,Средний
Заказ не привезли,Доставка,Средний
Курьер не приехал сегодня,Доставка,Средний
Посылка задерживается уже второй день,Доставка,Средний
Когда будет доставка моего заказа?,Доставка,Средний
Почему доставка переносится?,Доставка,Средний
Мне не пришёл заказ,Доставка,Средний
Когда доставят посылку?,Доставка,Средний
Почему так долго идёт доставка?,Доставка,Средний
Где курьер?,Доставка,Средний
Заказ в статусе доставки уже долго,Доставка,Средний
Почему не доставляют заказ?,Доставка,Средний
Курьер опаздывает,Доставка,Средний
Почему заказ не пришёл?,Доставка,Средний
Доставка задерживается уже неделю,Доставка,Средний
Где мой курьер?,Доставка,Средний
Посылка всё ещё в пути,Доставка,Средний
Когда ждать доставку?,Доставка,Средний
Почему заказ застрял в доставке?,Доставка,Средний
Почему доставка не выполнена?,Доставка,Средний
Заказ не пришёл вовремя,Доставка,Средний
Курьер не позвонил,Доставка,Средний
Когда привезут посылку?,Доставка,Средний
Почему доставка задержалась?,Доставка,Средний
Мой заказ не пришёл,Доставка,Средний
Где отслеживание заказа?,Доставка,Средний
Почему статус доставки не меняется?,Доставка,Средний
Когда придёт заказ?,Доставка,Средний
Посылка всё ещё не доставлена,Доставка,Средний
Доставка задерживается без объяснения,Доставка,Средний
Почему курьер не приехал сегодня?,Доставка,Средний
Где моя доставка?,Доставка,Средний
Почему заказ не доставлен до сих пор?,Доставка,Средний
Когда ожидать курьера?,Доставка,Средний
Доставка слишком долгая,Доставка,Средний
Почему заказ не пришёл вчера?,Доставка,Средний
Посылка не доставлена,Доставка,Средний
Где сейчас курьер?,Доставка,Средний
Почему заказ не доставили сегодня?,Доставка,Средний
Можно ускорить доставку?,Доставка,Средний
Когда будет моя посылка?,Доставка,Средний
Почему доставка идёт так долго?,Доставка,Средний
Заказ не доставлен,Доставка,Средний
Где посылка сейчас?,Доставка,Средний
Почему доставка не состоялась?,Доставка,Средний
Когда курьер приедет?,Доставка,Средний
Заказ задерживается в доставке,Доставка,Средний
Почему заказ не приходит?,Доставка,Средний
Доставка не выполнена вовремя,Доставка,Средний
Когда будет мой заказ?,Доставка,Средний
Почему посылка не пришла?,Доставка,Средний
Где находится доставка?,Доставка,Средний
Курьер задерживается,Доставка,Средний
Почему не доставили заказ?,Доставка,Средний
Когда ожидать посылку?,Доставка,Средний
Доставка уже должна была быть сегодня,Доставка,Средний
Почему заказ не доставлен в срок?,Доставка,Средний
Где мой заказ сейчас?,Доставка,Средний
Почему курьер не звонит?,Доставка,Средний
Когда будет доставка сегодня?,Доставка,Средний
Посылка задержалась,Доставка,Средний
Почему доставка такая медленная?,Доставка,Средний
Заказ всё ещё не пришёл,Доставка,Средний
Курьер не появился,Доставка,Средний
Почему заказ не доставляют?,Доставка,Средний
Где мой пакет?,Доставка,Средний
Когда будет курьер?,Доставка,Средний
Почему заказ всё ещё в пути?,Доставка,Средний
Почему доставка не приходит?,Доставка,Средний
Где моя посылка сейчас?,Доставка,Средний
Почему заказ не доставлен сегодня?,Доставка,Средний
Курьер задержал доставку,Доставка,Средний
Когда приедет заказ?,Доставка,Средний
Почему доставка не состоялась сегодня?,Доставка,Средний
Посылка не пришла вовремя,Доставка,Средний
Где находится заказ сейчас?,Доставка,Средний
Почему доставка переносится на другой день?,Доставка,Средний
Когда будет доставка заказа?,Доставка,Средний
Почему курьер не приехал вовремя?,Доставка,Средний
Посылка задерживается в дороге,Доставка,Средний
Когда придёт мой пакет?,Доставка,Средний
Почему доставка не выполнена?,Доставка,Средний
Где курьер с заказом?,Доставка,Средний
Почему заказ так долго в доставке?,Доставка,Средний
Когда ожидать заказ?,Доставка,Средний
Посылка всё ещё не у меня,Доставка,Средний
Почему курьер не доставил заказ?,Доставка,Средний
Где мой товар?,Доставка,Средний
Когда доставят товар?,Доставка,Средний
Почему заказ не доставлен вчера?,Доставка,Средний
Посылка задержалась в пути,Доставка,Средний
Где сейчас моя посылка?,Доставка,Средний
Почему заказ не доставили в срок?,Доставка,Средний
Когда будет доставка посылки?,Доставка,Средний
Курьер не приехал в назначенное время,Доставка,Средний
Почему заказ всё ещё не у меня?,Доставка,Средний
Когда ожидать курьера сегодня?,Доставка,Средний
Почему доставка не пришла сегодня?,Доставка,Средний
Где мой заказ уже второй день?,Доставка,Средний
Почему курьер опаздывает?,Доставка,Средний
Когда придёт курьер?,Доставка,Средний
Почему доставка задерживается уже несколько дней?,Доставка,Средний
Посылка до сих пор не пришла ко мне,Доставка,Средний
"Где мой заказ, который должен был прийти вчера?",Доставка,Средний
Почему статус доставки не обновляется?,Доставка,Средний
Когда точно будет доставка?,Доставка,Средний
Почему курьер не приехал и не предупредил?,Доставка,Средний
"Я жду заказ, но его всё нет",Доставка,Средний
"Где мой заказ, объясните пожалуйста",Доставка,Средний
Почему заказ задержался в доставке?,Доставка,Средний
Когда курьер приедет с моим заказом?,Доставка,Средний
Почему доставка постоянно переносится?,Доставка,Средний
Где находится мой заказ на данный момент?,Доставка,Средний
Почему мой заказ всё ещё не доставлен?,Доставка,Средний
Когда наконец доставят мою посылку?,Доставка,Средний
Почему заказ едет так долго?,Доставка,Средний
"Где заказ, который я оформил несколько дней назад?",Доставка,Средний
Почему курьер не приехал сегодня?,Доставка,Средний
Когда ожидать доставку моего заказа?,Доставка,Средний
Почему посылка задерживается уже третий день?,Доставка,Средний
"Где мой заказ, я его жду уже давно",Доставка,Средний
Почему доставка не пришла в назначенное время?,Доставка,Средний
"Когда привезут заказ, который я оплатил?",Доставка,Средний
Почему мой заказ застрял в доставке?,Доставка,Средний
Где находится моя посылка сейчас?,Доставка,Средний
Почему доставка идёт дольше обещанного?,Доставка,Средний
Когда будет курьер с моим заказом?,Доставка,Средний
Почему заказ не доставили вчера вечером?,Доставка,Средний
"Где моя посылка, можно уточнить?",Доставка,Средний
Почему курьер не вышел на связь?,Доставка,Средний
Когда доставят оплаченный заказ?,Доставка,Средний
Почему заказ до сих пор не у меня?,Доставка,Средний
"Где мой заказ, который должен был прийти сегодня?",Доставка,Средний
Почему доставка задерживается без причины?,Доставка,Средний
Когда наконец привезут посылку?,Доставка,Средний
Почему заказ всё ещё не доставлен мне?,Доставка,Средний
"Где мой пакет, который отправили?",Доставка,Средний
Почему доставка задержалась на несколько дней?,Доставка,Средний
Когда будет доставка моего товара?,Доставка,Средний
Почему курьер не приехал в назначенное время?,Доставка,Средний
"Где заказ, который я оформил неделю назад?",Доставка,Средний
Почему посылка всё ещё не доставлена?,Доставка,Средний
Когда ожидать доставку моего заказа сегодня?,Доставка,Средний
Почему доставка не пришла вовремя?,Доставка,Средний
"Где мой заказ, подскажите пожалуйста",Доставка,Средний
Почему заказ не пришёл в срок?,Доставка,Средний
Когда курьер наконец приедет?,Доставка,Средний
Почему доставка моего заказа задерживается?,Доставка,Средний
Где сейчас находится моя посылка?,Доставка,Средний
Почему курьер не доставил заказ сегодня?,Доставка,Средний
Когда будет доставлен мой заказ?,Доставка,Средний
Почему заказ всё ещё не пришёл ко мне?,Доставка,Средний
"Где заказ, который должен был прийти вчера?",Доставка,Средний
Почему доставка не состоялась?,Доставка,Средний
Когда привезут мой заказ домой?,Доставка,Средний
Почему посылка задержалась по дороге?,Доставка,Средний
Где сейчас мой заказ в доставке?,Доставка,Средний
Почему заказ не доставлен вовремя?,Доставка,Средний
Когда ожидать доставку товара?,Доставка,Средний
Сайт не работает,Техническая ошибка,Высокий
Программа вылетает,Техническая ошибка,Высокий
Ошибка при запуске приложения,Техническая ошибка,Высокий
Не могу войти в аккаунт,Техническая ошибка,Высокий
Система выдает ошибку,Техническая ошибка,Высокий
Ошибка 404,Техническая ошибка,Высокий
Приложение зависло,Техническая ошибка,Высокий
Не удается загрузить страницу,Техническая ошибка,Высокий
Всё зависло,Техническая ошибка,Высокий
Ошибка при сохранении данных,Техническая ошибка,Высокий
Не могу отправить форму,Техническая ошибка,Высокий
Ошибка при оплате,Техническая ошибка,Высокий
Программа не реагирует,Техническая ошибка,Высокий
Не загружается сайт,Техническая ошибка,Высокий
Сбой в работе приложения,Техническая ошибка,Высокий
Ошибка соединения,Техническая ошибка,Высокий
Не работает кнопка,Техническая ошибка,Высокий
Не удается войти,Техническая ошибка,Высокий
Ошибка сервера,Техническая ошибка,Высокий
Приложение закрывается само,Техническая ошибка,Высокий
Страница не открывается,Техническая ошибка,Высокий
Ошибка при регистрации,Техническая ошибка,Высокий
Не могу войти на сайт,Техническая ошибка,Высокий
Программа падает,Техническая ошибка,Высокий
Ошибка при обновлении,Техническая ошибка,Высокий
Сайт не отображается корректно,Техническая ошибка,Высокий
Приложение выдает белый экран,Техническая ошибка,Высокий
Ошибка при загрузке файла,Техническая ошибка,Высокий
Не работает поиск,Техническая ошибка,Высокий
Сбой при авторизации,Техническая ошибка,Высокий
Ошибка базы данных,Техническая ошибка,Высокий
Программа тормозит,Техническая ошибка,Высокий
Ошибка при загрузке контента,Техническая ошибка,Высокий
Приложение зависло полностью,Техническая ошибка,Высокий
Сайт тормозит,Техническая ошибка,Высокий
Не удается открыть файл,Техническая ошибка,Высокий
Ошибка при синхронизации,Техническая ошибка,Высокий
Не работает меню,Техническая ошибка,Высокий
Программа вылетела при старте,Техническая ошибка,Высокий
Ошибка при обработке данных,Техническая ошибка,Высокий
Не удается зайти,Техническая ошибка,Высокий
Сайт не отвечает,Техническая ошибка,Высокий
Ошибка при регистрации пользователя,Техническая ошибка,Высокий
Приложение не загружается,Техническая ошибка,Высокий
Не работает кнопка «Отправить»,Техническая ошибка,Высокий
Ошибка соединения с сервером,Техническая ошибка,Высокий
Программа закрывается сама,Техническая ошибка,Высокий
Сайт завис,Техническая ошибка,Высокий
Ошибка при оплате услуги,Техническая ошибка,Высокий
Не удается скачать файл,Техническая ошибка,Высокий
Приложение не сохраняет данные,Техническая ошибка,Высокий
Ошибка при авторизации,Техническая ошибка,Высокий
Не работает поиск по сайту,Техническая ошибка,Высокий
Сбой при загрузке страницы,Техническая ошибка,Высокий
Ошибка при отправке формы,Техническая ошибка,Высокий
Программа тормозит сильно,Техническая ошибка,Высокий
Сайт выдает ошибку 500,Техническая ошибка,Высокий
Не удается войти в систему,Техническая ошибка,Высокий
Ошибка при загрузке изображения,Техническая ошибка,Высокий
Приложение зависло при запуске,Техническая ошибка,Высокий
Ошибка при регистрации email,Техническая ошибка,Высокий
Не работает вход через соцсети,Техническая ошибка,Высокий
Сбой при авторизации,Техническая ошибка,Высокий
Ошибка при загрузке видео,Техническая ошибка,Высокий
Приложение не реагирует,Техническая ошибка,Высокий
Приложение вылетает при работе,Техническая ошибка,Высокий
Ошибка при синхронизации данных,Техническая ошибка,Высокий
Сайт не открывается в браузере,Техническая ошибка,Высокий
Не удается отправить файл,Техническая ошибка,Высокий
Ошибка при регистрации аккаунта,Техническая ошибка,Высокий
Программа не сохраняет изменения,Техническая ошибка,Высокий
Сбой при загрузке контента,Техническая ошибка,Высокий
Ошибка соединения с базой данных,Техническая ошибка,Высокий
Не работает функция «Загрузить»,Техническая ошибка,Высокий
Приложение закрывается внезапно,Техническая ошибка,Высокий
Сайт не реагирует,Техническая ошибка,Высокий
Ошибка при обновлении приложения,Техническая ошибка,Высокий
Не удается войти в личный кабинет,Техническая ошибка,Высокий
Ошибка при загрузке страницы профиля,Техническая ошибка,Высокий
Программа зависла на старте,Техническая ошибка,Высокий
Сбой при подключении к серверу,Техническая ошибка,Высокий
Ошибка при авторизации пользователя,Техническая ошибка,Высокий
Не работает кнопка «Оплатить»,Техническая ошибка,Высокий
Приложение тормозит,Техническая ошибка,Высокий
Сайт выдаёт ошибку 502,Техническая ошибка,Высокий
Не удается создать аккаунт,Техническая ошибка,Высокий
Ошибка при загрузке документа,Техническая ошибка,Высокий
Программа не запускается,Техническая ошибка,Высокий
Сбой при сохранении данных,Техническая ошибка,Высокий
Ошибка при отправке email,Техническая ошибка,Высокий
Не работает поиск по приложению,Техническая ошибка,Высокий
Приложение зависло,Техническая ошибка,Высокий
Сайт не открывает страницу,Техническая ошибка,Высокий
Ошибка при загрузке файла на сервер,Техническая ошибка,Высокий
Не удается войти на сайт,Техническая ошибка,Высокий
Ошибка при авторизации через соцсети,Техническая ошибка,Высокий
Программа закрылась,Техническая ошибка,Высокий
Сбой при обработке запроса,Техническая ошибка,Высокий
Не работает кнопка «Регистрация»,Техническая ошибка,Высокий
Ошибка при загрузке профиля,Техническая ошибка,Высокий
Приложение не реагирует на ввод,Техническая ошибка,Высокий
Сайт выдает пустую страницу,Техническая ошибка,Высокий
Ошибка при обновлении данных,Техническая ошибка,Высокий
Не удается подключиться к сервису,Техническая ошибка,Высокий
Программа зависла при работе,Техническая ошибка,Высокий
Сбой при отправке сообщения,Техническая ошибка,Высокий
Ошибка при регистрации нового пользователя,Техническая ошибка,Высокий
Не работает функционал сайта,Техническая ошибка,Высокий
Приложение закрывается внезапно,Техническая ошибка,Высокий
Сайт тормозит,Техническая ошибка,Высокий
Ошибка при загрузке контента,Техническая ошибка,Высокий
Не удается сохранить файл,Техническая ошибка,Высокий
Ошибка при входе в личный кабинет,Техническая ошибка,Высокий
Программа вылетает,Техническая ошибка,Высокий
Сбой на сервере базы данных,Техническая ошибка,Высокий
Не работает кнопка «Войти»,Техническая ошибка,Высокий
Ошибка при синхронизации,Техническая ошибка,Высокий
Приложение не загружается,Техническая ошибка,Высокий
Сайт не открывается в мобильном браузере,Техническая ошибка,Высокий
Не удается отправить форму,Техническая ошибка,Высокий
Ошибка при авторизации email,Техническая ошибка,Высокий
Программа зависла полностью,Техническая ошибка,Высокий
Сбой при подключении,Техническая ошибка,Высокий
Ошибка при скачивании документа,Техническая ошибка,Высокий
Не работает меню сайта,Техническая ошибка,Высокий
Приложение тормозит сильно,Техническая ошибка,Высокий
Сайт выдаёт ошибку 503,Техническая ошибка,Высокий
Не удается зарегистрироваться,Техническая ошибка,Высокий
Ошибка при загрузке видеофайла,Техническая ошибка,Высокий
Программа закрылась при работе,Техническая ошибка,Высокий
Сбой при сохранении профиля,Техническая ошибка,Высокий
Ошибка при оплате через сайт,Техническая ошибка,Высокий
Не работает поиск по каталогу,Техническая ошибка,Высокий
Приложение не отвечает,Техническая ошибка,Высокий
Сайт завис при загрузке,Техническая ошибка,Высокий
Ошибка при загрузке документа на сервер,Техническая ошибка,Высокий
Не удается войти через соцсети,Техническая ошибка,Высокий
Ошибка при авторизации пользователя,Техническая ошибка,Высокий
Программа вылетела при старте,Техническая ошибка,Высокий
Сбой при обработке данных,Техническая ошибка,Высокий
Не работает кнопка «Сохранить»,Техническая ошибка,Высокий
Ошибка при загрузке изображения,Техническая ошибка,Высокий
Приложение зависло на экране входа,Техническая ошибка,Высокий
Сайт не отображает контент,Техническая ошибка,Высокий
Ошибка при обновлении профиля,Техническая ошибка,Высокий
Не удается подключиться к базе данных,Техническая ошибка,Высокий
Программа закрылась сама,Техническая ошибка,Высокий
Сбой при авторизации,Техническая ошибка,Высокий
Ошибка при скачивании файла,Техническая ошибка,Высокий
Не работает функция «Отправить»,Техническая ошибка,Высокий
Приложение тормозит при работе,Техническая ошибка,Высокий
Сайт не реагирует на действия,Техническая ошибка,Высокий
Ошибка при регистрации нового аккаунта,Техническая ошибка,Высокий
Не удается загрузить страницу профиля,Техническая ошибка,Высокий
Ошибка при авторизации через email,Техническая ошибка,Высокий
Программа зависла на старте,Техническая ошибка,Высокий
Сбой при загрузке видео,Техническая ошибка,Высокий
Не работает кнопка «Добавить в корзину»,Техническая ошибка,Высокий
Ошибка при синхронизации аккаунта,Техническая ошибка,Высокий
Приложение закрывается внезапно,Техническая ошибка,Высокий
Сайт завис полностью,Техническая ошибка,Высокий
Не удается сохранить изменения,Техническая ошибка,Высокий
Ошибка при загрузке документа,Техническая ошибка,Высокий
Программа не реагирует,Техническая ошибка,Высокий
Сбой при отправке формы,Техническая ошибка,Высокий
Ошибка при оплате через приложение,Техническая ошибка,Высокий
Не работает поиск на сайте,Техническая ошибка,Высокий
Приложение зависло,Техническая ошибка,Высокий
Сайт не открывает страницу профиля,Техническая ошибка,Высокий
Ошибка при загрузке файлов,Техническая ошибка,Высокий
Не удается войти в личный кабинет,Техническая ошибка,Высокий
Ошибка при авторизации через соцсети,Техническая ошибка,Высокий
Программа вылетела при работе,Техническая ошибка,Высокий
Сбой при обработке запроса,Техническая ошибка,Высокий
Не работает кнопка «Регистрация»,Техническая ошибка,Высокий
